Config_ID,Score,CAGR%,Sharpe,Sortino,MaxDD%,Calmar,Volatility%,WinRate%,BestRebalance,Regime_Diversity,N_Regimes_Used,Regime_Changes,Avg_Duration,Degradation%,Test_LogL,Test_BIC,n_stocks,n_indices,vol_window,Features,Regimes,Decision
6,815.9228936738984,12.106647217086696,0.7313669334510595,1.028874969142993,-22.430019459038192,0.5397519712007345,14.33499878691508,54.39938791124713,quarterly,0.837993693142479,3,135,9.617647058823529,-4.199282196902692,-16596.03267546401,35797.04574605024,7,0,20,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
15,815.955509245204,11.159510667108608,0.7225331809717499,1.0672472683301877,-22.979971319019704,0.48561899891808297,13.098696356771148,54.32950191570881,regime_change,0.8319188455610779,3,142,9.132867132867133,-2.772325755612208,-20038.921982064232,43392.56659527287,7,0,30,Ret+Vol+RSI,Bull|Bear|Sideways,○ ACCEPTABLE
0,819.7837397359684,12.220894463774211,0.7300066044739644,1.0199921152509963,-22.664025598267155,0.5392199373754941,14.541809168964129,54.77463712757831,quarterly,0.8022743031893056,3,168,7.7514792899408285,-4.091278080286454,-16749.218458112893,36103.971933304645,7,0,10,Ret+Vol,Sideways|Bull|Bear,○ ACCEPTABLE
21,819.8963958662233,12.377033769780322,0.7376640377867553,1.0321538815381932,-22.70909720603764,0.5450253551466439,14.58943913608493,54.69824293353705,quarterly,0.7883232110776184,3,176,7.401129943502825,1.9675996253953818,-23343.99693809471,53169.531398013685,7,3,10,Ret+Vol+RSI,Sideways|Bull|Bear,○ ACCEPTABLE
35,826.4395472636572,12.048696153739202,0.7335423651857433,1.031398373844591,-23.198899054195145,0.5193649976920086,14.195465081665585,54.406130268199234,monthly,0.7322774572466957,3,250,5.203187250996016,2.2999398134316373,-18749.93723878711,48197.38842354026,7,3,30,Ret+Vol+RSI+Mom+MB,Bull|Sideways|Bear,○ ACCEPTABLE
25,831.3244099364272,12.280498464103061,0.7327203783538857,1.0258483032132342,-22.675899530333922,0.5415660996237542,14.56574975761683,54.934965570007655,quarterly,0.7586337404775562,3,111,11.678571428571429,1.575559801098478,-24956.831567753503,58675.86991909994,7,3,20,Ret+Vol+RSI+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
9,831.9615661771793,10.880791625031105,0.7425244697031119,1.0846539173281318,-25.94791732895954,0.4193319828750743,12.268196444236809,54.09334353481255,weekly,0.8245053725036804,3,131,9.909090909090908,-2.8173885616537686,-20103.007380414947,43521.44435462182,7,0,20,Ret+Vol+RSI,Bull|Bear|Sideways,○ ACCEPTABLE
65,832.693959574307,12.103549260090741,0.7262214853583767,1.0169977079178896,-22.65256339724917,0.5343125653302683,14.456873683121405,54.781943381790356,quarterly,0.7522317373226032,3,239,5.45,-5.903753602739189,-6046.090422294064,23480.896786899335,10,3,20,Ret+Vol+RSI+Mom+MB,Sideways|Bull|Bear,○ ACCEPTABLE
14,833.8556738440091,12.07560257648559,0.8401399218430708,1.258837439032406,-22.064738940978337,0.5472805551331016,12.094249237120286,54.17624521072797,weekly,0.8292746764948248,3,131,9.893939393939394,-5.001436851259393,-19232.30298129964,41779.32859374368,7,0,30,Ret+Vol+Mom,Bear|Bull|Sideways,○ ACCEPTABLE
24,835.0771385620884,11.89781388455653,0.7229469750619145,1.017608705410252,-22.492598891697842,0.5289657252078632,14.22150261202744,54.24636572302985,quarterly,0.8275715503232891,3,133,9.761194029850746,4.2906365500041215,-18047.66160514043,40637.89232904771,7,3,20,Ret+Vol,Bull|Sideways|Bear,○ ACCEPTABLE
13,840.4425950690817,12.173187408532993,0.8480422828181494,1.2646217078671462,-22.920675450066,0.5311007275964872,12.082724774449858,54.32950191570881,weekly,0.8207779623879403,3,119,10.883333333333333,-4.470895296936455,-21493.254596618266,47097.62622277278,7,0,30,Ret+Vol+RSI+Mom,Sideways|Bear|Bull,○ ACCEPTABLE
3,841.3026339001653,9.80884371812194,0.6817114408065995,0.9906016938982926,-23.9526873779876,0.4095091111628759,11.865485293340154,53.39954163483576,monthly,0.8143096260170279,3,167,7.7976190476190474,-2.843558331510992,-20227.96578862079,43772.06705352376,7,0,10,Ret+Vol+RSI,Bull|Bear|Sideways,○ ACCEPTABLE
1,842.5996456235795,12.751384116744745,0.7461496691971987,1.0426076849829062,-22.697724622136317,0.5617912953401838,14.9377261774469,55.15660809778456,quarterly,0.7497106995014994,3,131,9.924242424242424,-3.664414941801398,-21778.356934073712,47669.58319262727,7,0,10,Ret+Vol+RSI+Mom,Bear|Sideways|Bull,○ ACCEPTABLE
7,844.9509983564899,12.245856760629902,0.7311650088413438,1.0238606460961743,-22.531424419203557,0.5435012244584388,14.551556551233674,54.781943381790356,quarterly,0.809520678123492,3,122,10.634146341463415,-3.958626839714669,-21621.87896613405,47355.751779113925,7,0,20,Ret+Vol+RSI+Mom,Sideways|Bull|Bear,○ ACCEPTABLE
8,848.9265846254183,12.150833584065634,0.7275236990337882,1.0190862311825393,-22.516370731090994,0.5396444093580123,14.49730311586897,54.85845447589901,quarterly,0.81160550331145,3,119,10.9,-4.781249983371061,-19322.56836709374,41960.5663279794,7,0,20,Ret+Vol+Mom,Bear|Sideways|Bull,○ ACCEPTABLE
2,849.5944797315118,12.37532311045031,0.7342905915502747,1.025757353157794,-22.690196216827964,0.5454039706043736,14.670026303162228,54.92742551566081,quarterly,0.7868238950888833,3,142,9.160839160839162,-4.70485404990934,-19441.70146619488,42199.53840867194,7,0,10,Ret+Vol+Mom,Bear|Sideways|Bull,○ ACCEPTABLE
27,852.5688140279316,11.960576758539299,0.7270350964327629,1.0228984290826848,-22.48179578409176,0.5320116272474403,14.218062297580175,54.322876817138486,quarterly,0.815240869217967,3,135,9.617647058823529,3.5490124383221673,-23203.79626169042,52887.75036579232,7,3,20,Ret+Vol+RSI,Bull|Sideways|Bear,○ ACCEPTABLE
22,859.125709128066,11.971475581126967,0.7196791868888327,1.0058400363890199,-22.735149108495822,0.5265624396830274,14.415819403074352,54.69824293353705,quarterly,0.7707142408121901,3,397,3.291457286432161,1.1316667241514955,-11484.6645074897,28934.06620283761,7,3,10,Ret+Vol+MB,Bull|Sideways|Bear,○ ACCEPTABLE
