Date,Buy & Hold 60/40,Bond Only 100%,Buy Stock and Hold 100%,Regime-Based (regime_change),Regime-Based (weekly),Regime-Based (monthly),Regime-Based (quarterly)
2016-04-26,101765.60752133225,105346.9180521417,99406.8957563425,98289.45486613567,98927.63018122072,103963.83709984175,105352.06837664702
2016-04-27,102275.45582539262,106398.38551446976,99570.85279822841,98516.5938159393,99112.67260834541,104153.49302440457,105593.13820164822
2016-04-28,101885.01150532026,106837.10333972603,98651.737305338,97829.54130020371,98272.38074699437,103254.98920418262,104807.287887531
2016-04-29,101686.37631988846,107110.28690420039,98152.25484152463,97459.38914247572,97816.8156900317,102767.61195189213,104383.33157278695
2016-05-02,101734.38032676952,106031.8599983808,98918.81869711295,97966.44872540716,98475.81285974191,103496.90565988238,104975.12017945302
2016-05-03,101730.56186459323,107367.45868977433,98060.5358962194,97410.5814923738,97916.30377990872,102697.52658267415,104323.9672387711
2016-05-04,101604.46801569813,107956.43648928718,97478.361348511,97004.1949205588,97507.35055058918,102145.46251328492,103853.98441298478
2016-05-05,101871.43596638883,108678.10555580867,97455.063228059,97052.55446654094,97555.81967166936,102145.05058055457,103897.5167116924
2016-05-06,101879.39591456125,108213.55910870277,97764.44788037575,97224.6200321237,97759.074743679,102433.72699133301,104133.74621437382
2016-05-09,102056.92563613354,108553.69878648088,97838.11310286062,97297.87849592065,97838.89175531617,102516.46067355994,104230.24518592723
2016-05-10,102806.16032646518,108561.97508980198,99059.4892211965,98512.51051805222,98897.92344155224,103713.29955536447,105327.33132781666
2016-05-11,102466.82327339464,109175.81457671706,98112.33012415648,97570.58136777088,98113.92904982192,102804.43236694542,104531.94662191189
2016-05-12,102262.73554476991,108678.10555580867,98095.7035272403,97554.0465782574,98069.61371201843,102772.6857019968,104472.57635150122
2016-05-13,102165.25335821105,109731.62980242743,97264.01980061775,96726.95517580077,97412.11781233472,101990.60520632975,103820.11020199269
2016-05-16,102378.76304369164,108785.92694105535,98216.88159994969,97674.55553965217,98161.51844911557,102894.75248736939,104590.97825431533
2016-05-17,101885.30831871476,108968.48088698371,97292.53331207728,96755.31124365098,97237.69120032372,101994.83839620171,103777.55523470946
2016-05-18,101293.06964050373,107417.264008176,97312.49567076136,96775.1633757919,97257.64230657282,101966.21861172403,103656.94956298199
2016-05-19,101253.75469313847,107881.79406656245,96951.78669781746,96300.74640121688,96897.13665901404,101627.25926942845,103374.64821161718
2016-05-20,101642.52147651912,107964.70459824857,97535.38837143005,96396.02138280799,97480.4093664962,102201.58865835161,103905.91207659342
2016-05-23,101612.02027040749,108205.27461102193,97331.98232081071,96194.99143529574,97257.66254874141,102009.78330821238,103744.81120433229
2016-05-24,102237.90648936917,107724.15097419465,98663.61841855654,97511.07192562602,98397.00574714225,103299.4443274972,104897.16661322546
2016-05-25,102499.83807870375,107317.66156573237,99351.77156796235,98191.18636216421,98973.963291008,103961.00323450824,105478.57560606232
2016-05-26,102703.61543331761,107873.41123656493,99330.86359333363,98170.52262561656,98997.13551461851,103957.77988710726,105509.43668267118
2016-05-27,102902.31495940764,107715.86647651382,99756.68083466213,98591.36565075484,99361.18643209369,104370.0599743113,105877.59529967408
2016-05-31,102941.2576483708,107973.00548464885,99656.39913393182,98492.25539826791,99272.5154228102,104279.80011223431,105810.54182989996
2016-06-01,103181.03814351387,108411.0677611272,99769.51336515012,98604.048277071,99385.19392976756,104402.86069022215,105951.19606203433
2016-06-02,103657.64186673943,109192.46551567597,100051.33012195196,98882.57297019317,99665.92510788709,104708.4424435947,106273.9432372776
2016-06-03,104085.36896894779,110746.86180605655,99759.99919245558,98594.6452449017,99375.71640635951,104485.6058082469,106151.24354697912
2016-06-06,104063.12094437145,109923.93503642721,100248.55196031986,99077.49094679537,99862.38723336264,104929.56934171707,106516.29663373309
2016-06-07,104245.70835878872,110189.89936998485,100377.81707981962,99205.24604606147,99991.15441420292,105066.09285098406,106656.07998755095
2016-06-08,104678.61187689955,110780.15548961463,100710.0241439536,99533.57240834374,100322.08179251895,105413.27947666384,107006.99009205458
2016-06-09,104851.50493155557,111495.04782064448,100537.02863800789,99362.59776243605,100149.75267786779,105272.75720991737,106915.54396590033
2016-06-10,104498.59030843129,112035.30195723921,99614.58318467438,98450.9279251726,99230.8605516363,104394.57192457237,106135.77182010493
2016-06-13,104199.18303533993,112534.09263363115,98806.191777179,97651.97980281674,98425.58312674762,103625.96634177523,105454.67559777568
2016-06-14,104058.2307138037,112450.96904859222,98628.45078753565,97476.31510793681,98248.5268083478,103449.37768655652,105287.70650218932
2016-06-15,104115.77335896486,112883.22971838608,98446.90412881448,97296.88920018915,98067.67948058477,103289.38253364192,105163.34541654353
